web-scraper-order,web-scraper-start-url,title,detail,detail-href,year,rate,duration_hour,duration_min,duration,imdb_rating,num_vote,num_vote_clean,release_date,release_date_country,date,day,month,year,gross_us_can,gross_opening_weekend,gross_worldwide
1647979909-3587,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Blue Lagoon,The Blue Lagoon,https://www.imdb.com/title/tt0080453/?ref_=adv_li_tt,1980,R,1h,44m,104,5.8,68K,68000,"July 2, 1980 (United States)",United States,02-Jul-80,02,Jul,1980,"$58,853,106 ",null,"$58,853,106 "
1647966725-751,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Mr. & Mrs. Smith,Mr. & Mrs. Smith,https://www.imdb.com/title/tt0356910/?ref_=adv_li_tt,2005,PG-13,2h,,120,6.5,480K,480000,"June 9, 2005 (Thailand)",Thailand,09-Jun-05,09,Jun,2005,"$186,336,279 ","$50,342,878 ","$487,287,646 "
1647970363-1526,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Mummy,The Mummy,https://www.imdb.com/title/tt0120616/?ref_=adv_li_tt,1999,PG-13,2h,4m,124,7.1,417K,417000,"August 11, 1999 (Thailand)",Thailand,11-Aug-99,11,Aug,1999,"$155,385,488 ","$43,369,635 ","$415,933,406 "
1647972165-1900,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",National Security,National Security,https://www.imdb.com/title/tt0271668/?ref_=adv_li_tt,2003,PG-13,1h,28m,88,5.6,50K,50000,"January 17, 2003 (United States)",United States,17-Jan-03,17,Jan,2003,"$36,381,186 ","$14,369,694 ","$50,097,949 "
1647969578-1360,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Puss in Boots,Puss in Boots,https://www.imdb.com/title/tt0448694/?ref_=adv_li_tt,2011,PG,1h,30m,90,6.6,155K,155000,"November 24, 2011 (Thailand)",Thailand,24-Nov-11,24,Nov,2011,"$149,260,504 ","$34,077,439 ","$554,987,477 "
1647978938-3377,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Triple 9,Triple 9,https://www.imdb.com/title/tt1712261/?ref_=adv_li_tt,2016,20,1h,55m,115,6.3,71K,71000,"February 26, 2016 (United States)",United States,26-Feb-16,26,Feb,2016,"$12,639,297 ","$6,109,085 ","$23,177,948 "
1647975573-2640,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Innerspace,Innerspace,https://www.imdb.com/title/tt0093260/?ref_=adv_li_tt,1987,PG,2h,,120,6.8,59K,59000,"July 1, 1987 (United States)",United States,01-Jul-87,01,Jul,1987,"$25,893,810 ","$4,739,913 ","$25,893,810 "
1647964893-383,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Dark Tower,The Dark Tower,https://www.imdb.com/title/tt1648190/?ref_=adv_li_tt,2017,13,1h,35m,95,5.6,136K,136000,"August 4, 2017 (United States)",United States,04-Aug-17,04,Aug,2017,"$50,701,325 ","$19,153,698 ","$113,231,078 "
1647971842-1829,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Color It Yellow,Color It Yellow,https://www.imdb.com/title/tt0405508/?ref_=adv_li_tt,2006,Not Rated,2h,47m,167,8.1,118K,118000,"January 26, 2006 (India)",India,26-Jan-06,26,Jan,2006,"$2,197,694 ","$701,666 ","$10,800,778 "
1647965727-536,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Night at the Museum: Battle of the Smithsonian,Night at the Museum: Battle of the Smithsonian,https://www.imdb.com/title/tt1078912/?ref_=adv_li_tt,2009,PG,1h,45m,105,6,191K,191000,"May 21, 2009 (Thailand)",Thailand,21-May-09,21,May,2009,"$177,243,721 ","$54,173,286 ","$413,106,170 "
1647978095-3192,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Boy,The Boy,https://www.imdb.com/title/tt3882082/?ref_=adv_li_tt,2016,15,1h,37m,97,6,89K,89000,"January 22, 2016 (Canada)",Canada,22-Jan-16,22,Jan,2016,"$35,819,556 ","$10,778,392 ","$73,929,392 "
