,title,genres
1995,Jaws,Adventure
1995,Jaws,Thriller
1996,Radhe,Action
1996,Radhe,Crime
1996,Radhe,Thriller
1997,The Mortal Instruments: City of Bones,Action
1997,The Mortal Instruments: City of Bones,Adventure
1997,The Mortal Instruments: City of Bones,Fantasy
1997,The Mortal Instruments: City of Bones,Horror
1997,The Mortal Instruments: City of Bones,Mystery
1997,The Mortal Instruments: City of Bones,Romance
1998,12 Monkeys,Mystery
1998,12 Monkeys,Sci-Fi
1998,12 Monkeys,Thriller
1999,Fast & Furious Presents: Hobbs & Shaw,Action
1999,Fast & Furious Presents: Hobbs & Shaw,Adventure
1999,Fast & Furious Presents: Hobbs & Shaw,Thriller
2000,Halloween.1,Crime
2000,Halloween.1,Horror
2000,Halloween.1,Thriller
2001,Unstoppable,Action
2001,Unstoppable,Thriller
2002,The Last Duel,Action
2002,The Last Duel,Drama
2002,The Last Duel,History
2002,The Last Duel,Thriller
2003,National Treasure: Book of Secrets,Action
2003,National Treasure: Book of Secrets,Adventure
2003,National Treasure: Book of Secrets,Mystery
2003,National Treasure: Book of Secrets,Thriller
2004,The Intouchables,Biography
2004,The Intouchables,Comedy
2004,The Intouchables,Drama
2005,Scary Movie 2,Comedy
2006,The Nun,Horror
2006,The Nun,Mystery
2006,The Nun,Thriller
2007,Princess Mononoke,Animation
2007,Princess Mononoke,Action
2007,Princess Mononoke,Adventure
2007,Princess Mononoke,Fantasy
2008,The Big Lebowski,Comedy
2008,The Big Lebowski,Crime
2009,Wonder,Drama
2009,Wonder,Family
2010,Coherence,Drama
2010,Coherence,Mystery
2010,Coherence,Sci-Fi
2010,Coherence,Thriller
2011,1917,Action
2011,1917,Drama
2011,1917,War
2012,Star Wars: Episode I - The Phantom Menace,Action
2012,Star Wars: Episode I - The Phantom Menace,Adventure
2012,Star Wars: Episode I - The Phantom Menace,Fantasy
2012,Star Wars: Episode I - The Phantom Menace,Sci-Fi
2013,Wallace & Gromit: The Curse of the Were-Rabbit,Animation
2013,Wallace & Gromit: The Curse of the Were-Rabbit,Adventure
2013,Wallace & Gromit: The Curse of the Were-Rabbit,Comedy
2013,Wallace & Gromit: The Curse of the Were-Rabbit,Family
2013,Wallace & Gromit: The Curse of the Were-Rabbit,Fantasy
2013,Wallace & Gromit: The Curse of the Were-Rabbit,Mystery
2013,Wallace & Gromit: The Curse of the Were-Rabbit,Sci-Fi
2014,"Dude, Where's My Car?",Comedy
2014,"Dude, Where's My Car?",Mystery
2014,"Dude, Where's My Car?",Sci-Fi
2015,Lilo & Stitch,Animation
2015,Lilo & Stitch,Adventure
2015,Lilo & Stitch,Comedy
2015,Lilo & Stitch,Drama
2015,Lilo & Stitch,Family
2015,Lilo & Stitch,Fantasy
2015,Lilo & Stitch,Sci-Fi
2016,Rear Window,Mystery
2016,Rear Window,Thriller
2017,Abraham Lincoln: Vampire Hunter,Action
2017,Abraham Lincoln: Vampire Hunter,Fantasy
2017,Abraham Lincoln: Vampire Hunter,Horror
2018,The Other Guys,Action
2018,The Other Guys,Comedy
2018,The Other Guys,Crime
2019,Harry Potter and the Chamber of Secrets,Adventure
2019,Harry Potter and the Chamber of Secrets,Family
2019,Harry Potter and the Chamber of Secrets,Fantasy
2019,Harry Potter and the Chamber of Secrets,Mystery
2020,The Way Way Back,Comedy
2020,The Way Way Back,Drama
2021,"I, Robot",Action
2021,"I, Robot",Mystery
2021,"I, Robot",Sci-Fi
2021,"I, Robot",Thriller
2022,The Accountant,Action
2022,The Accountant,Thriller
2023,Deadpool,Action
2023,Deadpool,Adventure
2023,Deadpool,Comedy
2023,Deadpool,Sci-Fi
2024,The Lighthouse,Drama
2024,The Lighthouse,Fantasy
2024,The Lighthouse,Horror
2024,The Lighthouse,Mystery
2025,The Texas Chain Saw Massacre,Horror
2026,King Kong.1,Action
2026,King Kong.1,Adventure
2026,King Kong.1,Drama
2026,King Kong.1,Romance
2027,North by Northwest,Adventure
2027,North by Northwest,Mystery
2027,North by Northwest,Thriller
2028,Miss Congeniality,Action
2028,Miss Congeniality,Comedy
2028,Miss Congeniality,Crime
2028,Miss Congeniality,Romance
2029,The Exorcism of Emily Rose,Drama
2029,The Exorcism of Emily Rose,Horror
2029,The Exorcism of Emily Rose,Thriller
2030,Cloudy with a Chance of Meatballs,Animation
2030,Cloudy with a Chance of Meatballs,Adventure
2030,Cloudy with a Chance of Meatballs,Comedy
2030,Cloudy with a Chance of Meatballs,Family
2030,Cloudy with a Chance of Meatballs,Fantasy
2030,Cloudy with a Chance of Meatballs,Sci-Fi
2031,The Perfect Storm,Action
2031,The Perfect Storm,Adventure
2031,The Perfect Storm,Drama
2031,The Perfect Storm,Thriller
2032,Resident Evil: Afterlife,Action
2032,Resident Evil: Afterlife,Adventure
2032,Resident Evil: Afterlife,Horror
2032,Resident Evil: Afterlife,Sci-Fi
2032,Resident Evil: Afterlife,Thriller
2033,Little Women.1,Drama
2033,Little Women.1,Romance
2034,The Visit,Horror
2034,The Visit,Mystery
2034,The Visit,Thriller
2035,Fury,Action
2035,Fury,Drama
2035,Fury,War
2036,Big,Comedy
2036,Big,Drama
2036,Big,Fantasy
2036,Big,Romance
2037,Despicable Me 3,Animation
2037,Despicable Me 3,Adventure
2037,Despicable Me 3,Comedy
2037,Despicable Me 3,Crime
2037,Despicable Me 3,Family
2037,Despicable Me 3,Sci-Fi
2038,The Game,Drama
2038,The Game,Mystery
2038,The Game,Thriller
2039,Grown Ups,Comedy
2040,Antichrist,Drama
2040,Antichrist,Horror
2040,Antichrist,Thriller
2041,Sleepy Hollow,Fantasy
2041,Sleepy Hollow,Horror
2041,Sleepy Hollow,Mystery
2042,The Fighter,Action
2042,The Fighter,Biography
2042,The Fighter,Drama
2042,The Fighter,Sport
2043,The Godfather: Part III,Crime
2043,The Godfather: Part III,Drama
2044,Mean Girls,Comedy
2045,Nobody,Action
2045,Nobody,Crime
2045,Nobody,Drama
2045,Nobody,Thriller
2046,American Made,Action
2046,American Made,Comedy
2046,American Made,Crime
2046,American Made,Drama
2047,Remember the Titans,Biography
2047,Remember the Titans,Drama
2047,Remember the Titans,Sport
2048,Neighbors 2: Sorority Rising,Comedy
2049,Scott Pilgrim vs. the World,Action
2049,Scott Pilgrim vs. the World,Comedy
2049,Scott Pilgrim vs. the World,Fantasy
2049,Scott Pilgrim vs. the World,Romance
2050,Terminator 2: Judgment Day,Action
2050,Terminator 2: Judgment Day,Sci-Fi
2051,Æon Flux,Action
2051,Æon Flux,Adventure
2051,Æon Flux,Sci-Fi
2051,Æon Flux,Thriller
2052,Snow White and the Seven Dwarfs,Animation
2052,Snow White and the Seven Dwarfs,Adventure
2052,Snow White and the Seven Dwarfs,Family
2052,Snow White and the Seven Dwarfs,Fantasy
2052,Snow White and the Seven Dwarfs,Musical
2052,Snow White and the Seven Dwarfs,Romance
2053,Step Brothers,Comedy
2054,The Predator,Action
2054,The Predator,Adventure
2054,The Predator,Sci-Fi
2055,Argo,Biography
2055,Argo,Drama
2055,Argo,Thriller
2056,Wild Wild West,Action
