,title,director
2638,Papillon.1,Franklin J. Schaffner
2639,Bad Boys for Life,Adil El Arbi
2639,Bad Boys for Life,Bilall Fallah
2640,The Lion King.1,Roger Allers
2640,The Lion King.1,Rob Minkoff
2641,Thor: The Dark World,Alan Taylor
2642,The Social Network,David Fincher
2643,Munich,Steven Spielberg
2644,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg
2645,Cast Away,Robert Zemeckis
2646,Monsters vs. Aliens,Rob Letterman
2646,Monsters vs. Aliens,Conrad Vernon
2647,Closer,Mike Nichols
2648,The Kingdom,Peter Berg
2649,The Bodyguard,Mick Jackson
2650,Need for Speed,Scott Waugh
2651,Annabelle: Creation,David F. Sandberg
2652,Walk the Line,James Mangold
2653,The Time Traveler's Wife,Robert Schwentke
2654,K-PAX,Iain Softley
2655,The Holiday,Nancy Meyers
2656,Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton
2657,Aliens,James Cameron
2658,Se7en,David Fincher
2659,Charlie's Angels: Full Throttle,McG
2660,Eternals,Chloé Zhao
2661,Pi,Darren Aronofsky
2662,Enemy of the State,Tony Scott
2663,"Honey, I Shrunk the Kids",Joe Johnston
2664,Blazing Saddles,Mel Brooks
2665,Wall Street,Oliver Stone
2666,We Were Soldiers,Randall Wallace
2667,Superbad,Greg Mottola
2668,It,Andy Muschietti
2669,Saw V,David Hackl
2670,Escape from Alcatraz,Don Siegel
2671,Taken 3,Olivier Megaton
2672,Sinister,Scott Derrickson
2673,Knives Out,Rian Johnson
2674,Final Destination,James Wong
2675,The Matrix Reloaded,Lana Wachowski
2675,The Matrix Reloaded,Lilly Wachowski
2676,American Pie,Paul Weitz
2676,American Pie,Chris Weitz
2677,Spider-Man 2,Sam Raimi
2678,The Lovely Bones,Peter Jackson
2679,Free Guy,Shawn Levy
2680,Unforgiven,Clint Eastwood
2681,Top Gun,Tony Scott
2682,Eagle Eye,D.J. Caruso
2683,Transformers: Dark of the Moon,Michael Bay
2684,Pitch Perfect 2,Elizabeth Banks
2685,Children of Men,Alfonso Cuarón
2686,Seven Pounds,Gabriele Muccino
2687,Adaptation.,Spike Jonze
2688,Raising Arizona,Joel Coen
2688,Raising Arizona,Ethan Coen
2689,Shallow Hal,Bobby Farrelly
2689,Shallow Hal,Peter Farrelly
2690,Starsky & Hutch,Todd Phillips
2691,Moonrise Kingdom,Wes Anderson
2692,Luca,Enrico Casarosa
2693,Miller's Crossing,Joel Coen
2693,Miller's Crossing,Ethan Coen
2694,Bird Box,Susanne Bier
2695,Due Date,Todd Phillips
2696,Cruella,Craig Gillespie
2697,The Maze Runner,Wes Ball
2698,EuroTrip,Jeff Schaffer
2698,EuroTrip,Alec Berg
2698,EuroTrip,David Mandel
2699,Wreck-It Ralph,Rich Moore
2700,Triple Frontier,J.C. Chandor
2701,Hacksaw Ridge,Mel Gibson
2702,The Invention of Lying,Ricky Gervais
2702,The Invention of Lying,Matthew Robinson
2703,The Bridge on the River Kwai,David Lean
2704,How to Lose a Guy in 10 Days,Donald Petrie
2705,Under the Skin,Jonathan Glazer
2706,21 Grams,Alejandro G. Iñárritu
2707,Sausage Party,Greg Tiernan
2707,Sausage Party,Conrad Vernon
2708,Office Space,Mike Judge
2709,The Expendables 3,Patrick Hughes
2710,Dark City,Alex Proyas
2711,Master and Commander: The Far Side of the World,Peter Weir
2712,Zack and Miri Make a Porno,Kevin Smith
2713,Gangs of New York,Martin Scorsese
2714,Predestination,Michael Spierig
2714,Predestination,Peter Spierig
2715,Scream 3,Wes Craven
2716,Jumanji: Welcome to the Jungle,Jake Kasdan
2717,Red Notice,Rawson Marshall Thurber
2718,Spirited Away,Hayao Miyazaki
2719,Spring Breakers,Harmony Korine
2720,Pixels,Chris Columbus
2721,Zero Dark Thirty,Kathryn Bigelow
2722,Palm Springs,Max Barbakow
2723,The Martian,Ridley Scott
2724,Easy A,Will Gluck
2725,Law Abiding Citizen,F. Gary Gray
2726,About Time,Richard Curtis
2727,Snakes on a Plane,David R. Ellis
2728,"Me, Myself & Irene",Bobby Farrelly
2728,"Me, Myself & Irene",Peter Farrelly
2729,Harold & Kumar Go to White Castle,Danny Leiner
2730,Bridesmaids,Paul Feig
2731,Mallrats,Kevin Smith
2732,Coach Carter,Thomas Carter
2733,The Pianist,Roman Polanski
2734,Logan Lucky,Steven Soderbergh
2735,El Camino: A Breaking Bad Movie,Vince Gilligan
2736,Zack Snyder's Justice League,Zack Snyder
2737,The Mask,Chuck Russell
2738,Misery,Rob Reiner
2739,The Shape of Water,Guillermo del Toro
2740,"I, Tonya",Craig Gillespie
2741,Whiplash,Damien Chazelle
2742,In the Name of the Father,Jim Sheridan
2743,Four Brothers,John Singleton
2744,The Mummy: Tomb of the Dragon Emperor,Rob Cohen
2745,The Truman Show,Peter Weir
2746,My Neighbor Totoro,Hayao Miyazaki
2747,Total Recall.1,Paul Verhoeven
2748,Reign of Fire,Rob Bowman
2749,Contraband,Baltasar Kormákur
2750,Batman v Superman: Dawn of Justice,Zack Snyder
2751,World War Z,Marc Forster
2752,The Irishman,Martin Scorsese
2753,They Live,John Carpenter
2754,Contact,Robert Zemeckis
2755,The A-Team,Joe Carnahan
2756,Kiki's Delivery Service,Hayao Miyazaki
2757,Pirates of the Caribbean: On Stranger Tides,Rob Marshall
2758,Lethal Weapon,Richard Donner
2759,The World's End,Edgar Wright
2760,The Imaginarium of Doctor Parnassus,Terry Gilliam
2761,Once Upon a Time in America,Sergio Leone
2762,Still Alice,Richard Glatzer
2762,Still Alice,Wash Westmoreland
2763,Mission: Impossible - Rogue Nation,Christopher McQuarrie
2764,Marriage Story,Noah Baumbach
2765,Roma,Alfonso Cuarón
2766,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon
2767,Wrath of Man,Guy Ritchie
2768,Hanna,Joe Wright
2769,"South Park: Bigger, Longer & Uncut",Trey Parker
2770,A Christmas Story,Bob Clark
2771,Mamma Mia!,Phyllida Lloyd
2772,"Good Morning, Vietnam",Barry Levinson
2773,The Wedding Singer,Frank Coraci
2774,Life,Daniel Espinosa
2775,The Hangover Part III,Todd Phillips
2776,Black Hawk Down,Ridley Scott
2777,The Lego Batman Movie,Chris McKay
2778,6 Underground,Michael Bay
2779,The Artist,Michel Hazanavicius
2780,Highlander,Russell Mulcahy
2781,Once Upon a Time in Mexico,Robert Rodriguez
2782,Alexander,Oliver Stone
2783,Red Sparrow,Francis Lawrence
2784,Friends with Benefits,Will Gluck
2785,Bad Times at the El Royale,Drew Goddard
2786,Ghostbusters.1,Paul Feig
2787,Like Stars on Earth,Aamir Khan
2787,Like Stars on Earth,Amole Gupte
2788,The Devil Wears Prada,David Frankel
2789,The Karate Kid,John G. Avildsen
2790,Beverly Hills Cop,Martin Brest
2791,Ready or Not,Matt Bettinelli-Olpin
2791,Ready or Not,Tyler Gillett
2792,Rogue One: A Star Wars Story,Gareth Edwards
2793,The Reader,Stephen Daldry
2794,Desperado,Robert Rodriguez
2795,Last Vegas,Jon Turteltaub
2796,Sully,Clint Eastwood
2797,Shakespeare in Love,John Madden
2798,Annihilation,Alex Garland
2799,WALL·E,Andrew Stanton
2800,Skyfall,Sam Mendes
2801,Indiana Jones and the Temple of Doom,Steven Spielberg
2802,127 Hours,Danny Boyle
2803,Unbreakable,M. Night Shyamalan
2804,The Hobbit: The Desolation of Smaug,Peter Jackson
2805,Four Weddings and a Funeral,Mike Newell
2806,RED 2,Dean Parisot
2807,War for the Planet of the Apes,Matt Reeves
2808,Fun with Dick and Jane,Dean Parisot
2809,Guardians of the Galaxy Vol. 2,James Gunn
2810,Bridge of Spies,Steven Spielberg
2811,Grindhouse,Robert Rodriguez
2811,Grindhouse,Eli Roth
2811,Grindhouse,Quentin Tarantino
2812,Black Panther,Ryan Coogler
2813,Outbreak,Wolfgang Petersen
2814,The Scorpion King,Chuck Russell
2815,Over the Hedge,Tim Johnson
2815,Over the Hedge,Karey Kirkpatrick
2816,Pandorum,Christian Alvart
2817,Unbroken,Angelina Jolie
2818,Memento,Christopher Nolan
2819,The Bone Collector,Phillip Noyce
2820,12 Years a Slave,Steve McQueen
2821,Me Before You,Thea Sharrock
2822,A History of Violence,David Cronenberg
2823,Notting Hill,Roger Michell
2824,Natural Born Killers,Oliver Stone
2825,The Princess Bride,Rob Reiner
2826,Saw,James Wan
2827,28 Weeks Later,Juan Carlos Fresnadillo
2828,Star Wars: Episode IX - The Rise of Skywalker,J.J. Abrams
2829,I Am Legend,Francis Lawrence
2830,La La Land,Damien Chazelle
2831,Castle in the Sky,Hayao Miyazaki
2832,Smokin' Aces,Joe Carnahan
2833,Aquaman,James Wan
2834,Fargo,Joel Coen
2834,Fargo,Ethan Coen
2835,Thor: Ragnarok,Taika Waititi
2836,Ready Player One,Steven Spielberg
2837,The Constant Gardener,Fernando Meirelles
2838,Double Indemnity,Billy Wilder
2839,Wild,Jean-Marc Vallée
2840,2 Guns,Baltasar Kormákur
2841,Mission: Impossible III,J.J. Abrams
2842,Manhattan,Woody Allen
2843,Idiocracy,Mike Judge
2844,Reservoir Dogs,Quentin Tarantino
2845,Up in the Air,Jason Reitman
2846,Atomic Blonde,David Leitch
2847,Cape Fear,Martin Scorsese
2848,Dune.1,Denis Villeneuve
2849,Die Another Day,Lee Tamahori
2850,Furious 7,James Wan
2851,The Devil All the Time,Antonio Campos
2852,Evolution,Ivan Reitman
2853,Upgrade,Leigh Whannell
2854,Dances with Wolves,Kevin Costner
2855,Eragon,Stefen Fangmeier
2856,Avatar,James Cameron
2857,Your Name.,Makoto Shinkai
2858,A Few Good Men,Rob Reiner
2859,Kingsman: The Secret Service,Matthew Vaughn
2860,From Russia with Love,Terence Young
2861,Hotel Transylvania,Genndy Tartakovsky
2862,Toy Story 4,Josh Cooley
2863,Rocky,John G. Avildsen
2864,Kingdom of Heaven,Ridley Scott
2865,Spectre,Sam Mendes
2866,The Man from U.N.C.L.E.,Guy Ritchie
2867,Jungle Cruise,Jaume Collet-Serra
2868,Kung Fu Panda 2,Jennifer Yuh Nelson
2869,500 Days of Summer,Marc Webb
2870,Interview with the Vampire: The Vampire Chronicles,Neil Jordan
2871,Side Effects,Steven Soderbergh
2872,Scream 2,Wes Craven
2873,The Favourite,Yorgos Lanthimos
2874,Apollo 13,Ron Howard
2875,Death Race,Paul W.S. Anderson
2876,Battle Los Angeles,Jonathan Liebesman
2877,Resident Evil: Extinction,Russell Mulcahy
2878,The Texas Chainsaw Massacre,Marcus Nispel
2879,King Arthur: Legend of the Sword,Guy Ritchie
2880,If I Stay,R.J. Cutler
2881,American Pie 2,J.B. Rogers
2882,Killing Them Softly,Andrew Dominik
2883,Gandhi,Richard Attenborough
2884,Klaus,Sergio Pablos
2884,Klaus,Carlos Martínez López
2885,"The Good, the Bad and the Ugly",Sergio Leone
2886,Hero,Yimou Zhang
2887,Batman & Robin,Joel Schumacher
2888,Harry Potter and the Half-Blood Prince,David Yates
2889,The Naked Gun: From the Files of Police Squad!,David Zucker
2890,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski
2891,Hard Candy,David Slade
2892,Django Unchained,Quentin Tarantino
2893,Project X,Nima Nourizadeh
2894,Lucky Number Slevin,Paul McGuigan
2895,The Last of the Mohicans,Michael Mann
2896,Casino,Martin Scorsese
2897,The Gentlemen,Guy Ritchie
2898,Rise of the Guardians,Peter Ramsey
2899,The Perks of Being a Wallflower,Stephen Chbosky
2900,Swordfish,Dominic Sena
2901,The Girl with the Dragon Tattoo,Niels Arden Oplev
2902,Wind River,Taylor Sheridan
2903,Seven Psychopaths,Martin McDonagh
2904,In Bruges,Martin McDonagh
2905,The Amazing Spider-Man,Marc Webb
2906,Jurassic World: Fallen Kingdom,J.A. Bayona
2907,Tag,Jeff Tomsic
2908,La Haine,Mathieu Kassovitz
2909,Star Trek: First Contact,Jonathan Frakes
2910,The Dark Knight,Christopher Nolan
2911,Three Kings,David O. Russell
2912,Pirates of the Caribbean: Dead Men Tell No Tales,Joachim Rønning
2912,Pirates of the Caribbean: Dead Men Tell No Tales,Espen Sandberg
2913,xXx,Rob Cohen
2914,Hellboy II: The Golden Army,Guillermo del Toro
2915,Team America: World Police,Trey Parker
2916,Snowden,Oliver Stone
2917,X-Men: First Class,Matthew Vaughn
2918,Ice Age 2: The Meltdown,Carlos Saldanha
2919,Now You See Me 2,Jon M. Chu
2920,Hall Pass,Bobby Farrelly
2920,Hall Pass,Peter Farrelly
2921,Hellboy.1,Guillermo del Toro
2922,Quantum of Solace,Marc Forster
2923,Passengers,Morten Tyldum
2924,Platoon,Oliver Stone
2925,The Score,Frank Oz
2926,Spider-Man,Sam Raimi
2927,The Suicide Squad,James Gunn
2928,The Jungle Book.1,Jon Favreau
2929,Shutter Island,Martin Scorsese
2930,Stranger Than Fiction,Marc Forster
2931,Johnny English,Peter Howitt
2932,Casablanca,Michael Curtiz
2933,Don't Look Up,Adam McKay
2934,Spider-Man: No Way Home,Jon Watts
2935,Goodfellas,Martin Scorsese
2936,Beetlejuice,Tim Burton
2937,Michael Clayton,Tony Gilroy
2938,On the Waterfront,Elia Kazan
2939,American Reunion,Jon Hurwitz
2939,American Reunion,Hayden Schlossberg
2940,Alien,Ridley Scott
2941,Point Break.1,Kathryn Bigelow
2942,Avengers: Age of Ultron,Joss Whedon
2943,Training Day,Antoine Fuqua
2944,Hansel & Gretel: Witch Hunters,Tommy Wirkola
2945,Coraline,Henry Selick
2946,The Mummy,Alex Kurtzman
2947,Deep Blue Sea,Renny Harlin
2948,Police Academy,Hugh Wilson
2949,The Wolf of Wall Street,Martin Scorsese
2950,Happy Gilmore,Dennis Dugan
2951,Bumblebee,Travis Knight
2952,Stand by Me,Rob Reiner
2953,Boyhood,Richard Linklater
2954,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner
2955,Gone Girl,David Fincher
2956,True Romance,Tony Scott
2957,Rain Man,Barry Levinson
2958,A Bug's Life,John Lasseter
2958,A Bug's Life,Andrew Stanton
2959,Shoot 'Em Up,Michael Davis
2960,Ran,Akira Kurosawa
2961,Angels & Demons,Ron Howard
2962,Eyes Wide Shut,Stanley Kubrick
2963,Ghost Rider,Mark Steven Johnson
2964,Robin Hood: Prince of Thieves,Kevin Reynolds
2965,Knocked Up,Judd Apatow
2966,Spotlight,Tom McCarthy
2967,Rocky IV,Sylvester Stallone
2968,Akira,Katsuhiro Ôtomo
2969,Hereditary,Ari Aster
2970,The Village,M. Night Shyamalan
2971,Midsommar,Ari Aster
2972,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick
2973,Gangster Squad,Ruben Fleischer
2974,Cloud Atlas,Tom Tykwer
2974,Cloud Atlas,Lana Wachowski
2974,Cloud Atlas,Lilly Wachowski
2975,Peter Pan.1,Clyde Geronimi
2975,Peter Pan.1,Wilfred Jackson
2975,Peter Pan.1,Hamilton Luske
2976,When Harry Met Sally...,Rob Reiner
2977,Requiem for a Dream,Darren Aronofsky
2978,The Mummy.1,Stephen Sommers
2979,The Hunchback of Notre Dame,Gary Trousdale
2979,The Hunchback of Notre Dame,Kirk Wise
2980,Inferno,Ron Howard
2981,Superman Returns,Bryan Singer
2982,Pineapple Express,David Gordon Green
2983,Harry Potter and the Goblet of Fire,Mike Newell
2984,Titanic,James Cameron
2985,Jack Reacher: Never Go Back,Edward Zwick
2986,Shaun of the Dead,Edgar Wright
2987,Black Swan,Darren Aronofsky
2988,The Princess Diaries,Garry Marshall
2989,E.T. the Extra-Terrestrial,Steven Spielberg
2990,Leaving Las Vegas,Mike Figgis
2991,The Big Sick,Michael Showalter
2992,Rosemary's Baby,Roman Polanski
2993,JFK,Oliver Stone
2994,Spartacus,Stanley Kubrick
2995,Bad Moms,Jon Lucas
2995,Bad Moms,Scott Moore
2996,Tomorrowland,Brad Bird
2997,Scream.1,Wes Craven
2998,Army of Darkness,Sam Raimi
2999,Pocahontas,Mike Gabriel
2999,Pocahontas,Eric Goldberg
3000,Lincoln,Steven Spielberg
3001,Grave of the Fireflies,Isao Takahata
3002,The Girl with the Dragon Tattoo.1,David Fincher
3003,Real Steel,Shawn Levy
3004,Creed,Ryan Coogler
3005,Hairspray,Adam Shankman
3006,The Terminator,James Cameron
3007,Tarzan,Chris Buck
3007,Tarzan,Kevin Lima
3008,State of Play,Kevin Macdonald
3009,25th Hour,Spike Lee
3010,Defiance,Edward Zwick
3011,Encanto,Jared Bush
3011,Encanto,Byron Howard
3011,Encanto,Charise Castro Smith
3012,Sherlock Holmes,Guy Ritchie
3013,Baywatch,Seth Gordon
3014,Horrible Bosses 2,Sean Anders
3015,Joker,Todd Phillips
3016,Ted,Seth MacFarlane
3017,The Conjuring 2,James Wan
3018,Lara Croft Tomb Raider: The Cradle of Life,Jan de Bont
3019,The Darjeeling Limited,Wes Anderson
3020,Raging Bull,Martin Scorsese
3021,The NeverEnding Story,Wolfgang Petersen
3022,Baby Driver,Edgar Wright
3023,Lawless,John Hillcoat
3024,This Is 40,Judd Apatow
3025,John Carter,Andrew Stanton
3026,Frozen II,Chris Buck
3026,Frozen II,Jennifer Lee
3027,300: Rise of an Empire,Noam Murro
3028,Les Misérables,Tom Hooper
3029,The Terminal,Steven Spielberg
3030,Once Upon a Time... In Hollywood,Quentin Tarantino
3031,Ocean's Eleven,Steven Soderbergh
3032,Orphan,Jaume Collet-Serra
3033,Coming to America,John Landis
3034,Finding Dory,Andrew Stanton
3034,Finding Dory,Angus MacLane
3035,The Road.1,John Hillcoat
3036,Foxcatcher,Bennett Miller
3037,The Campaign,Jay Roach
3038,Sleepless in Seattle,Nora Ephron
3039,The Negotiator,F. Gary Gray
3040,Traffic,Steven Soderbergh
3041,Watchmen,Zack Snyder
3042,Dr. No,Terence Young
3043,Crazy Rich Asians,Jon M. Chu
3044,The Mule,Clint Eastwood
3045,BlacKkKlansman,Spike Lee
3046,Scary Movie,Keenen Ivory Wayans
3047,The Lincoln Lawyer,Brad Furman
3048,Mission: Impossible,Brian De Palma
3049,A Quiet Place Part II,John Krasinski
3050,Men in Black: International,F. Gary Gray
3051,Mr. & Mrs. Smith,Doug Liman
3052,The Kids Are All Right,Lisa Cholodenko
3053,Nocturnal Animals,Tom Ford
3054,Tucker and Dale vs Evil,Eli Craig
3055,Escape from New York,John Carpenter
3056,Call Me by Your Name,Luca Guadagnino
3057,The Equalizer,Antoine Fuqua
3058,From Dusk Till Dawn,Robert Rodriguez
3059,Dead Poets Society,Peter Weir
3060,Planet Terror,Robert Rodriguez
3061,Happy Feet,George Miller
3061,Happy Feet,Warren Coleman
3061,Happy Feet,Judy Morris
3062,Seven Years in Tibet,Jean-Jacques Annaud
3063,White Chicks,Keenen Ivory Wayans
3064,Infernal Affairs,Andrew Lau
3064,Infernal Affairs,Alan Mak
3065,Ray,Taylor Hackford
3066,The Cable Guy,Ben Stiller
3067,The Goonies,Richard Donner
3068,Perfume: The Story of a Murderer,Tom Tykwer
3069,Megamind,Tom McGrath
3070,Drive,Nicolas Winding Refn
3071,Basic Instinct,Paul Verhoeven
3072,The Thing,John Carpenter
3073,The Lone Ranger,Gore Verbinski
3074,Godzilla.1,Gareth Edwards
3075,"Girl, Interrupted",James Mangold
3076,Ghostbusters II,Ivan Reitman
3077,Road to Perdition,Sam Mendes
3078,American Hustle,David O. Russell
3079,Man on Fire,Tony Scott
3080,Crimson Peak,Guillermo del Toro
3081,Star Wars: Episode II - Attack of the Clones,George Lucas
3082,Kick-Ass,Matthew Vaughn
3083,Star Wars: Episode III - Revenge of the Sith,George Lucas
3084,The Boat,Wolfgang Petersen
3085,Snowpiercer,Bong Joon Ho
3086,Butch Cassidy and the Sundance Kid,George Roy Hill
3087,Face/Off,John Woo
3088,Iron Man 3,Shane Black
3089,Paranormal Activity,Oren Peli
3090,Equilibrium,Kurt Wimmer
3091,The Incredibles,Brad Bird
3092,Neighbors,Nicholas Stoller
3093,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon
3094,Dangal,Nitesh Tiwari
3095,Ghostbusters: Afterlife,Jason Reitman
3096,Blue Jasmine,Woody Allen
3097,Network,Sidney Lumet
3098,Chappie,Neill Blomkamp
3099,Ronin,John Frankenheimer
3100,The Greatest Showman,Michael Gracey
3101,Harry Potter and the Sorcerer's Stone,Chris Columbus
3102,Daredevil,Mark Steven Johnson
3103,Star Wars: Episode VIII - The Last Jedi,Rian Johnson
3104,I Origins,Mike Cahill
3105,V for Vendetta,James McTeigue
3106,Halloween.2,John Carpenter
3107,Source Code,Duncan Jones
3108,Air Force One,Wolfgang Petersen
3109,The Wrestler,Darren Aronofsky
3110,Bad Santa,Terry Zwigoff
3111,Olympus Has Fallen,Antoine Fuqua
3112,The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik
3113,Happy Death Day,Christopher Landon
3114,Exodus: Gods and Kings,Ridley Scott
3115,Mystic River,Clint Eastwood
3116,The Hunt.1,Thomas Vinterberg
3117,Saw II,Darren Lynn Bousman
3118,This Is the End,Evan Goldberg
3118,This Is the End,Seth Rogen
3119,In Time,Andrew Niccol
3120,Airplane!,Jim Abrahams
3120,Airplane!,David Zucker
3120,Airplane!,Jerry Zucker
3121,Amélie,Jean-Pierre Jeunet
3122,Pulp Fiction,Quentin Tarantino
3123,Locke,Steven Knight
3124,Rambo,Sylvester Stallone
3125,Hannibal,Ridley Scott
3126,The Hangover,Todd Phillips
3127,Sicario: Day of the Soldado,Stefano Sollima
3128,Hugo,Martin Scorsese
3129,Before Sunset,Richard Linklater
3130,Breakfast at Tiffany's,Blake Edwards
3131,Fast Five,Justin Lin
3132,The Ides of March,George Clooney
3133,The Hunger Games: Catching Fire,Francis Lawrence
3134,The Mist,Frank Darabont
3135,TRON: Legacy,Joseph Kosinski
3136,Planet of the Apes,Franklin J. Schaffner
3137,Beowulf,Robert Zemeckis
3138,Super 8,J.J. Abrams
3139,Battle Royale,Kinji Fukasaku
3140,Ice Age,Chris Wedge
3140,Ice Age,Carlos Saldanha
3141,Deja Vu,Tony Scott
3142,Safe House,Daniel Espinosa
3143,Mission: Impossible II,John Woo
3144,The Shallows,Jaume Collet-Serra
3145,Austin Powers: The Spy Who Shagged Me,Jay Roach
3146,Empire of the Sun,Steven Spielberg
3147,The Twilight Saga: Eclipse,David Slade
3148,The Bounty Hunter,Andy Tennant
3149,The Hurt Locker,Kathryn Bigelow
3150,Zootopia,Byron Howard
3150,Zootopia,Rich Moore
3150,Zootopia,Jared Bush
3151,Y tu mamá también,Alfonso Cuarón
3152,Charlie's Angels.1,McG
3153,Flushed Away,David Bowers
3153,Flushed Away,Sam Fell
3154,The Happening,M. Night Shyamalan
3155,"Crouching Tiger, Hidden Dragon",Ang Lee
3156,One Hundred and One Dalmatians,Clyde Geronimi
3156,One Hundred and One Dalmatians,Hamilton Luske
3156,One Hundred and One Dalmatians,Wolfgang Reitherman
3157,Ferris Bueller's Day Off,John Hughes
3158,The Purge,James DeMonaco
3159,Bright,David Ayer
3160,Johnny English Reborn,Oliver Parker
3161,Savages,Oliver Stone
3162,The Abyss,James Cameron
3163,Moon,Duncan Jones
3164,Knowing,Alex Proyas
3165,Young Frankenstein,Mel Brooks
3166,Babel,Alejandro G. Iñárritu
3167,Pain & Gain,Michael Bay
3168,Matilda,Danny DeVito
3169,Good Will Hunting,Gus Van Sant
3170,The Karate Kid.1,Harald Zwart
3171,Almost Famous,Cameron Crowe
3172,Inside Man,Spike Lee
3173,Tinker Tailor Soldier Spy,Tomas Alfredson
3174,Old School,Todd Phillips
3175,Hot Tub Time Machine,Steve Pink
3176,City of God,Fernando Meirelles
3176,City of God,Kátia Lund
3177,The Croods,Kirk DeMicco
3177,The Croods,Chris Sanders
3178,Eternal Sunshine of the Spotless Mind,Michel Gondry
3179,Brothers,Jim Sheridan
3180,Brooklyn,John Crowley
3181,Blade,Stephen Norrington
3182,Prometheus,Ridley Scott
3183,Psycho,Alfred Hitchcock
3184,A Walk to Remember,Adam Shankman
3185,Enemy,Denis Villeneuve
3186,Forrest Gump,Robert Zemeckis
3187,Man of Steel,Zack Snyder
3188,Big Fish,Tim Burton
3189,Man on a Ledge,Asger Leth
3190,The Big Short,Adam McKay
3191,The Count of Monte Cristo,Kevin Reynolds
3192,Secret Window,David Koepp
3193,Underworld: Evolution,Len Wiseman
3194,Ratatouille,Brad Bird
3194,Ratatouille,Jan Pinkava
3195,Revolutionary Road,Sam Mendes
3196,Nerve,Henry Joost
3196,Nerve,Ariel Schulman
3197,The Cabin in the Woods,Drew Goddard
3198,Ex Machina,Alex Garland
3199,Saving Private Ryan,Steven Spielberg
3200,The Taking of Pelham 1 2 3,Tony Scott
3201,The Tomorrow War,Chris McKay
3202,Onward,Dan Scanlon
3203,The Danish Girl,Tom Hooper
3204,The Gift.1,Joel Edgerton
3205,The Adventures of Tintin,Steven Spielberg
3206,Hachi: A Dog's Tale,Lasse Hallström
3207,Rush,Ron Howard
3208,"Planes, Trains & Automobiles",John Hughes
3209,Doctor Strange,Scott Derrickson
3210,As Good as It Gets,James L. Brooks
3211,Horrible Bosses,Seth Gordon
3212,The Evil Dead,Sam Raimi
3213,The Bank Job,Roger Donaldson
3214,X-Men,Bryan Singer
3215,Primal Fear,Gregory Hoblit
3216,There's Something About Mary,Bobby Farrelly
3216,There's Something About Mary,Peter Farrelly
3217,Event Horizon,Paul W.S. Anderson
3218,Devil,John Erick Dowdle
3219,The Bourne Legacy,Tony Gilroy
3220,Flightplan,Robert Schwentke
3221,Adventureland,Greg Mottola
3222,Now You See Me,Louis Leterrier
3223,The Next Three Days,Paul Haggis
3224,Isle of Dogs,Wes Anderson
3225,The Sorcerer's Apprentice,Jon Turteltaub
3226,Flight,Robert Zemeckis
3227,It Follows,David Robert Mitchell
3228,10 Things I Hate About You,Gil Junger
3229,Star Trek,J.J. Abrams
3230,Thor,Kenneth Branagh
3231,Dogma,Kevin Smith
3232,Lethal Weapon 3,Richard Donner
3233,Mrs. Doubtfire,Chris Columbus
3234,Kramer vs. Kramer,Robert Benton
3235,The Avengers,Joss Whedon
3236,Chicken Run,Peter Lord
3236,Chicken Run,Nick Park
3237,Wrath of the Titans,Jonathan Liebesman
3238,Ant-Man and the Wasp,Peyton Reed
3239,Ralph Breaks the Internet,Phil Johnston
3239,Ralph Breaks the Internet,Rich Moore
3240,Clueless,Amy Heckerling
3241,The Trial of the Chicago 7,Aaron Sorkin
3242,Toy Story 3,Lee Unkrich
3243,Taken 2,Olivier Megaton
3244,The Secret in Their Eyes,Juan José Campanella
3245,Full Metal Jacket,Stanley Kubrick
3246,Blade II,Guillermo del Toro
3247,There Will Be Blood,Paul Thomas Anderson
3248,The Girl on the Train,Tate Taylor
3249,Pinocchio,Norman Ferguson
3249,Pinocchio,T. Hee
3249,Pinocchio,Wilfred Jackson
3250,Willy Wonka & the Chocolate Factory,Mel Stuart
3251,Alien: Resurrection,Jean-Pierre Jeunet
3252,A Good Day to Die Hard,John Moore
3253,Lara Croft: Tomb Raider,Simon West
3254,The Boss Baby,Tom McGrath
3255,The Adjustment Bureau,George Nolfi
3256,Let's Be Cops,Luke Greenfield
3257,The Lost Boys,Joel Schumacher
3258,Thelma & Louise,Ridley Scott
3259,Harry Potter and the Deathly Hallows: Part 2,David Yates
3260,The Usual Suspects,Bryan Singer
3261,In the Heart of the Sea,Ron Howard
3262,The Hobbit: An Unexpected Journey,Peter Jackson
3263,The Watch,Akiva Schaffer
3264,Con Air,Simon West
3265,Ace Ventura: When Nature Calls,Steve Oedekerk
3266,Inglourious Basterds,Quentin Tarantino
3267,Dracula Untold,Gary Shore
3268,Troy,Wolfgang Petersen
3269,Witness for the Prosecution,Billy Wilder
3270,The Man in the Iron Mask,Randall Wallace
3271,Black Widow,Cate Shortland
3272,Saw IV,Darren Lynn Bousman
3273,The Descent,Neil Marshall
